wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
310,0.357862194,0.211517877,0.143513483,0.112003737,0.075134467,0.034370094,0.03595295,0.082363692,0.07417564,0.165999843,0.186761364,0.10631236,0.17426639,0.087407643,0.082648946,0.107510193,0.08749503,0.130960612,0.199545353,0.363578816,0.090881955,0.095640325,0.111753528,0.228383903,0.227355288,0.416091217,0.114928854,0.118404049,0.100430237,0.10365155,0.151097316,0.115862928,0.14212815,0.140183267,0.120719479,0.142829794,0.224050212,0.146374652,0.194816474,0.31254196,0.104314069,0.155160411,0.255825358,0.535724711,0.546989807
311,0.357340969,0.211369126,0.144272627,0.111706693,0.073617449,0.032884676,0.034952388,0.084616102,0.07058733,0.162314881,0.186414064,0.106964444,0.175855565,0.086238666,0.084669727,0.107202904,0.084653956,0.130043566,0.200546634,0.366335952,0.093363617,0.096264779,0.109433517,0.226943547,0.231817743,0.421053471,0.114564568,0.117506247,0.100293189,0.102188615,0.15183658,0.114872973,0.138121598,0.138753659,0.118947624,0.141288593,0.224094671,0.1463871,0.192731895,0.313676848,0.100257775,0.152110496,0.25095422,0.546660372,0.546309697
312,0.349401525,0.208275315,0.142499084,0.111560013,0.074687207,0.034799945,0.035212437,0.080111343,0.071107826,0.159768589,0.182093868,0.108218174,0.1710576,0.082349441,0.082226437,0.104485503,0.084614318,0.130846454,0.19796513,0.36629064,0.093290496,0.096478915,0.107109054,0.229839741,0.226748159,0.418937492,0.116079159,0.113572284,0.100121135,0.102473179,0.150350349,0.112384171,0.139175987,0.139350622,0.125549333,0.137035787,0.222696353,0.147333255,0.192838585,0.314702132,0.102370588,0.149332537,0.255527522,0.53724532,0.539669234
313,0.356360572,0.212133094,0.142774111,0.11405337,0.075105504,0.03399938,0.033523763,0.081569998,0.070067057,0.157362672,0.182379318,0.104605697,0.170753009,0.084267072,0.080623555,0.103479046,0.08354476,0.127371562,0.196419476,0.372550158,0.092118278,0.0938494,0.108849204,0.234281419,0.232740455,0.420812616,0.112152755,0.113838045,0.099152734,0.104180993,0.149711284,0.112935526,0.140336313,0.139290193,0.121438507,0.13778899,0.226680941,0.147175143,0.188538104,0.315400137,0.099395355,0.151026291,0.253370896,0.540645117,0.547211878
314,0.358764824,0.212892114,0.143436585,0.112253415,0.073812696,0.033695202,0.034844262,0.07953053,0.07193977,0.157343193,0.178670236,0.105697564,0.171455491,0.084636364,0.080532982,0.102314569,0.08397408,0.123936566,0.195677942,0.372979664,0.090456492,0.091957711,0.107058529,0.23716334,0.232136534,0.424097187,0.11028809,0.115443783,0.100124501,0.103615539,0.149709316,0.110116228,0.138903973,0.13802483,0.120442915,0.136862513,0.228061601,0.146212165,0.188711505,0.315662868,0.101542136,0.150514538,0.252301371,0.543915413,0.548951405
315,0.357707583,0.21411583,0.140342614,0.108823643,0.074982556,0.034507962,0.033537024,0.079296853,0.071830104,0.155237635,0.175398126,0.102108981,0.168424679,0.081417711,0.080991044,0.100255369,0.082038827,0.127514931,0.188017637,0.373096966,0.088105284,0.09270535,0.106918925,0.237368244,0.236775492,0.423686781,0.110342986,0.115397045,0.099881476,0.102192245,0.146745393,0.111623581,0.1379248,0.13816003,0.119579769,0.13791651,0.229601987,0.145847507,0.184856789,0.312790158,0.102104912,0.149820539,0.250165666,0.533850518,0.548280281
316,0.361434746,0.211876922,0.142093821,0.113436372,0.07320393,0.035513609,0.033292505,0.080822028,0.071711615,0.155376089,0.176949933,0.107140968,0.168330938,0.081420554,0.08025537,0.101328564,0.080905486,0.123976241,0.18878297,0.375596628,0.089050013,0.09009416,0.107567396,0.242872685,0.242171452,0.433101249,0.112383413,0.112887882,0.101457116,0.102150926,0.149409554,0.114756134,0.139606323,0.1370845,0.125510104,0.140826854,0.228239629,0.144947991,0.185324561,0.314182415,0.100914272,0.148494459,0.252307668,0.543668917,0.556831955
317,0.358700479,0.210675979,0.145605201,0.113419826,0.073409277,0.034328487,0.034858549,0.081767813,0.07050367,0.156740295,0.177829458,0.107135735,0.168963762,0.082303759,0.079680425,0.102474713,0.080592865,0.120767598,0.190917846,0.379068337,0.088184005,0.09154926,0.105490822,0.24943309,0.246320204,0.441193656,0.110849125,0.112379696,0.100960841,0.100901031,0.150922268,0.110150924,0.13865341,0.142859231,0.123349456,0.139619104,0.231556863,0.145990642,0.186800892,0.320099429,0.100921538,0.149756042,0.251500098,0.546902305,0.556951613
318,0.357201566,0.210291291,0.143017148,0.111786264,0.074714056,0.035309038,0.033753601,0.081361674,0.070308819,0.154982769,0.178301527,0.106165421,0.168581611,0.081310939,0.078147911,0.101343143,0.077674569,0.120980665,0.189034634,0.384906672,0.08757072,0.090612233,0.104407575,0.250952039,0.247079352,0.442798251,0.108846873,0.113507408,0.100940125,0.101025049,0.15039319,0.109660402,0.139088203,0.142430862,0.121052623,0.138940175,0.231965245,0.142003689,0.184744613,0.320793063,0.099741021,0.150785222,0.252980953,0.54945884,0.555011407
319,0.360605041,0.209871919,0.143280083,0.112471493,0.072352133,0.034646852,0.033789736,0.080306566,0.071556774,0.150691887,0.175203763,0.10693375,0.165597539,0.08139034,0.079570023,0.098829039,0.078830075,0.120583366,0.183431189,0.387008482,0.087252615,0.089592147,0.103022021,0.257422852,0.256019862,0.44703185,0.109864542,0.114662239,0.100905624,0.099926634,0.148695153,0.109434144,0.140024842,0.140597594,0.120095545,0.13866145,0.230883863,0.141265664,0.183006713,0.320537726,0.098877601,0.147034282,0.253570066,0.551393217,0.56084098
320,0.360235325,0.209685337,0.142435139,0.11065562,0.07364212,0.035030384,0.034285621,0.080454964,0.070366097,0.153095603,0.174507715,0.104178056,0.164991526,0.080367859,0.078835122,0.101634293,0.077807518,0.118877519,0.187710559,0.390786636,0.086835734,0.088337802,0.104285955,0.265903126,0.25989644,0.455229523,0.110419179,0.112777626,0.101825799,0.100187422,0.148389477,0.109355892,0.139556168,0.144701563,0.121758903,0.137952911,0.234008633,0.14176965,0.182606727,0.318684713,0.098956181,0.147770343,0.252712395,0.548432363,0.564984175
321,0.358000715,0.209857282,0.142031095,0.110607127,0.074136969,0.033965956,0.033941523,0.079959349,0.070419623,0.152676935,0.174809991,0.10374669,0.162906937,0.079650693,0.07820293,0.100633785,0.078316155,0.118926,0.184947766,0.391840281,0.086101338,0.088379548,0.101561851,0.267622059,0.267819482,0.456400628,0.110112004,0.11309372,0.101433126,0.100775911,0.148166508,0.108509048,0.137502631,0.146725859,0.120331258,0.139427238,0.236726518,0.139817957,0.182462233,0.321466979,0.099097373,0.146730253,0.250931637,0.549345224,0.563931529
322,0.357992973,0.211671785,0.144017265,0.111354936,0.074705248,0.033459007,0.034718863,0.082095128,0.070391201,0.153762464,0.172985319,0.103486186,0.165736029,0.079362304,0.077052975,0.1027784,0.078022012,0.116827556,0.185481907,0.395052466,0.084304648,0.087411225,0.102932072,0.276443659,0.272370356,0.462861017,0.111017087,0.111856737,0.09843071,0.099810391,0.149245695,0.108950094,0.139052408,0.149419707,0.122018254,0.13969869,0.237395129,0.13935573,0.181462331,0.324530002,0.09752313,0.149304634,0.251140115,0.554346198,0.561722393
323,0.362177557,0.211789243,0.143399799,0.109437259,0.073477277,0.035065033,0.032830599,0.082729212,0.070309288,0.153468057,0.169810004,0.104398447,0.16620853,0.078445586,0.079099074,0.099621043,0.077330309,0.117459659,0.185352804,0.398561857,0.084704696,0.088537743,0.101220939,0.287011439,0.283013965,0.468856254,0.109487163,0.114401039,0.098316565,0.099879862,0.151151035,0.109402807,0.140405653,0.149542876,0.123564236,0.140529715,0.241143336,0.13784183,0.177726946,0.326429319,0.098525827,0.14931449,0.253748213,0.562534123,0.564586424
324,0.36513707,0.209810501,0.144137694,0.110367635,0.073584627,0.035015281,0.033294592,0.080867478,0.070611665,0.152905133,0.170408955,0.105538504,0.163461908,0.077777608,0.078988476,0.100044097,0.076996979,0.116726305,0.183463513,0.401980792,0.083628992,0.089019593,0.101197655,0.291065404,0.283527543,0.467704024,0.108182482,0.112532535,0.098184244,0.098562807,0.150198155,0.106702705,0.140123884,0.152364607,0.122942473,0.138746846,0.241251783,0.136722249,0.175570452,0.326930749,0.097701327,0.148226761,0.249821352,0.554985228,0.565223328
325,0.363362061,0.2097181,0.14248864,0.1116104,0.072741726,0.034098545,0.033816041,0.079557798,0.070911048,0.151829568,0.16768864,0.105786219,0.165878288,0.078987924,0.078178411,0.099578949,0.076267744,0.116801223,0.182222288,0.401264705,0.084820368,0.088089774,0.101159781,0.297733958,0.294897353,0.475902949,0.108678479,0.112446359,0.099475282,0.098314039,0.148387749,0.107971545,0.141829092,0.153702195,0.123778545,0.139365655,0.24030844,0.137103772,0.175785995,0.327092228,0.098426352,0.149026238,0.249950274,0.559072598,0.568473907
326,0.363201278,0.210667517,0.142031705,0.11065602,0.071910692,0.033007426,0.034000494,0.079811995,0.069945362,0.151712037,0.166885264,0.104497459,0.165522798,0.079540972,0.077927214,0.101623687,0.076476637,0.115167943,0.183802023,0.407891684,0.08203262,0.087445108,0.099563151,0.30257895,0.301797428,0.481289021,0.109145807,0.110667641,0.098156816,0.099843162,0.151153259,0.108422804,0.143816185,0.155298952,0.12563449,0.13906766,0.244777021,0.134298802,0.173196346,0.330475059,0.097462667,0.148378668,0.250407161,0.564904038,0.570347029
327,0.358071865,0.205976208,0.142769324,0.106873915,0.072013063,0.033909973,0.034324335,0.079387612,0.071783534,0.15084381,0.167238542,0.102936136,0.166913407,0.078543735,0.07784788,0.098171475,0.074715337,0.116065423,0.178341025,0.406530221,0.083581018,0.087406898,0.100487995,0.306330236,0.302806682,0.477519957,0.107930255,0.112752892,0.100894901,0.100161228,0.150725392,0.106364768,0.141188813,0.155344767,0.125054156,0.136923349,0.244060764,0.13371581,0.172280293,0.329841184,0.097080409,0.148112531,0.252439164,0.563650756,0.574000612
