wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
462,0.393214898,0.441452814,0.061468402,0.318478056,0.222803258,0.060115629,0.058154081,0.375965547,0.127416156,0.139370883,0.087261453,0.068511274,0.376159128,0.27267547,0.064817233,0.051894159,0.082763509,0.312623993,0.92112148,0.564882664,0.345519516,0.187031783,0.08895042,0.037219059
463,0.398819847,0.440483173,0.063214651,0.316475966,0.225222251,0.060110679,0.058501438,0.375842172,0.127115723,0.13829159,0.088000521,0.069562077,0.380775986,0.270844728,0.066815146,0.051887259,0.083320469,0.31118544,0.923154735,0.567069086,0.345978928,0.187425316,0.089006209,0.03722915
464,0.405636676,0.440341538,0.06329315,0.316832938,0.228960156,0.060307954,0.058712586,0.375190622,0.126600796,0.136597871,0.089585117,0.070896526,0.387218177,0.268599047,0.069242147,0.051749411,0.084662152,0.310758552,0.92353664,0.5694495,0.347440461,0.188295933,0.089016169,0.037121515
465,0.409210481,0.440476507,0.063935607,0.316426653,0.23218616,0.060474621,0.059695474,0.373364445,0.124627746,0.134758912,0.091465846,0.072459891,0.392335292,0.26615167,0.071738026,0.052300345,0.086247206,0.309053435,0.925121178,0.569270183,0.346270274,0.188280732,0.089006628,0.037049337
466,0.412866015,0.438452362,0.064785923,0.315641413,0.234849888,0.060982497,0.058928847,0.370363746,0.125051331,0.133442282,0.092153825,0.071861811,0.395692544,0.264606341,0.07270291,0.052011068,0.086590132,0.304666863,0.923013039,0.568815062,0.347001856,0.188990472,0.087982162,0.037543607
467,0.418813327,0.436055023,0.064404517,0.314571286,0.236487428,0.060114554,0.05979853,0.368398271,0.124599895,0.13175123,0.093983563,0.073233079,0.400217695,0.261670654,0.075472868,0.051536253,0.08806202,0.30178054,0.925916118,0.569069362,0.346444295,0.187475774,0.087879979,0.037143092
468,0.425433614,0.432490443,0.064915723,0.314161516,0.239022101,0.059519831,0.060239654,0.365997748,0.124382959,0.130577699,0.094735726,0.074127058,0.40254792,0.258426804,0.077325368,0.051088388,0.089024482,0.298373531,0.925663568,0.569466153,0.347165323,0.186424553,0.08782658,0.037359671
469,0.429751419,0.429704703,0.065396247,0.312298023,0.241788062,0.060153877,0.059433854,0.360976634,0.123189257,0.128100054,0.096225976,0.07450765,0.404864853,0.255559353,0.080565832,0.051016737,0.08971111,0.292273493,0.924615487,0.570768339,0.345574743,0.18614969,0.087519016,0.036876429
470,0.435879594,0.430736543,0.065747451,0.311687273,0.246719543,0.059457301,0.060182609,0.357187386,0.122542818,0.126190636,0.097844208,0.075485074,0.406784096,0.253153395,0.084115636,0.051202707,0.092221264,0.290631471,0.929205056,0.572438778,0.346670012,0.186825817,0.088124688,0.037350325
471,0.441844938,0.429043833,0.065921485,0.310991957,0.25143327,0.059718523,0.060416004,0.352416392,0.123018166,0.124032049,0.098764118,0.075258337,0.40874934,0.249738904,0.086683317,0.051031347,0.093400405,0.28504754,0.928323266,0.572016734,0.347051488,0.187298814,0.088390998,0.037797158
